seikyuNo,int2,int,,,,,直接請求番号,A
satsu,varchar,RString,,,,,冊,A
page,int4,int,,,,,頁,A
gyo,int2,int,,,,,行,A
shinsaKubun,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.審査区分.getCodeShubetsu(),Description,,審査区分,A
mukoJiyuCode,UDD035Code,Code,SubGyomuCode.AFA選挙本体,AFACodeShubetsu.無効事由コード.getCodeShubetsu(),Description,,無効事由コード,A
shomeiYMD,UDD015YMD,FlexibleDate,,,,,署名年月日,A
shomeishaShikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,署名者識別コード,A
kanjiShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,漢字氏名,A
kanaShimei,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,カナ氏名,A
searchKanaShimei,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,検索用カナ氏名,A
seinengappiYMD,UDD015YMD,FlexibleDate,,,,,生年月日,A
seibetsuCode,varchar,RString,,,,,性別コード,A
jusho,UDD046AtenaJusho,AtenaJusho,,,,,住所,A
daihitsushaShikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,代筆者識別コード,A
daihitsushaKanjiShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,代筆者漢字氏名,A
daihitsushaSeinengappiYMD,UDD015YMD,FlexibleDate,,,,,代筆者生年月日,A
daihitsushaSeibetsuCode,varchar,RString,,,,,代筆者性別コード,A
daihitsushaJusho,UDD046AtenaJusho,AtenaJusho,,,,,代筆者住所,A
